Wavelength [um]	   Norm. Transmission [%]
9.754	     0.005931
9.755	     0.005987
9.756	     0.006043
9.757	     0.006099
9.758	     0.006157
9.759	     0.006215
9.760	     0.006274
9.761	     0.006333
9.762	     0.006393
9.763	     0.006454
9.764	     0.006515
9.765	     0.006576
9.766	     0.006638
9.767	     0.006701
9.768	     0.006764
9.769	     0.006828
9.770	     0.006892
9.771	     0.006957
9.772	     0.007022
9.773	     0.007087
9.774	     0.007152
9.775	     0.007218
9.776	     0.007284
9.777	     0.007350
9.778	     0.007417
9.779	     0.007483
9.780	     0.007551
9.781	     0.007618
9.782	     0.007685
9.783	     0.007752
9.784	     0.007820
9.785	     0.007886
9.786	     0.007953
9.787	     0.008020
9.788	     0.008087
9.789	     0.008153
9.790	     0.008220
9.791	     0.008287
9.792	     0.008354
9.793	     0.008421
9.794	     0.008489
9.795	     0.008556
9.796	     0.008624
9.797	     0.008691
9.798	     0.008759
9.799	     0.008826
9.800	     0.008894
9.801	     0.008963
9.802	     0.009032
9.803	     0.009102
9.804	     0.009172
9.805	     0.009243
9.806	     0.009315
9.807	     0.009386
9.808	     0.009458
9.809	     0.009531
9.810	     0.009605
9.811	     0.009679
9.812	     0.009755
9.813	     0.009832
9.814	     0.009911
9.815	     0.009990
9.816	     0.010070
9.817	     0.010152
9.818	     0.010234
9.819	     0.010318
9.820	     0.010403
9.821	     0.010488
9.822	     0.010576
9.823	     0.010665
9.824	     0.010755
9.825	     0.010846
9.826	     0.010939
9.827	     0.011032
9.828	     0.011127
9.829	     0.011224
9.830	     0.011322
9.831	     0.011421
9.832	     0.011521
9.833	     0.011622
9.834	     0.011725
9.835	     0.011830
9.836	     0.011936
9.837	     0.012043
9.838	     0.012151
9.839	     0.012260
9.840	     0.012371
9.841	     0.012483
9.842	     0.012596
9.843	     0.012710
9.844	     0.012825
9.845	     0.012941
9.846	     0.013059
9.847	     0.013178
9.848	     0.013297
9.849	     0.013418
9.850	     0.013540
9.851	     0.013663
9.852	     0.013787
9.853	     0.013912
9.854	     0.014038
9.855	     0.014165
9.856	     0.014293
9.857	     0.014423
9.858	     0.014553
9.859	     0.014684
9.860	     0.014817
9.861	     0.014951
9.862	     0.015086
9.863	     0.015222
9.864	     0.015360
9.865	     0.015498
9.866	     0.015638
9.867	     0.015779
9.868	     0.015921
9.869	     0.016064
9.870	     0.016210
9.871	     0.016356
9.872	     0.016504
9.873	     0.016653
9.874	     0.016804
9.875	     0.016955
9.876	     0.017108
9.877	     0.017263
9.878	     0.017419
9.879	     0.017577
9.880	     0.017738
9.881	     0.017900
9.882	     0.018065
9.883	     0.018232
9.884	     0.018400
9.885	     0.018571
9.886	     0.018743
9.887	     0.018917
9.888	     0.019094
9.889	     0.019273
9.890	     0.019454
9.891	     0.019637
9.892	     0.019823
9.893	     0.020010
9.894	     0.020200
9.895	     0.020392
9.896	     0.020586
9.897	     0.020782
9.898	     0.020981
9.899	     0.021182
9.900	     0.021386
9.901	     0.021593
9.902	     0.021803
9.903	     0.022016
9.904	     0.022231
9.905	     0.022449
9.906	     0.022669
9.907	     0.022892
9.908	     0.023117
9.909	     0.023344
9.910	     0.023574
9.911	     0.023806
9.912	     0.024040
9.913	     0.024276
9.914	     0.024514
9.915	     0.024755
9.916	     0.024998
9.917	     0.025243
9.918	     0.025492
9.919	     0.025742
9.920	     0.025996
9.921	     0.026252
9.922	     0.026511
9.923	     0.026773
9.924	     0.027037
9.925	     0.027304
9.926	     0.027574
9.927	     0.027846
9.928	     0.028121
9.929	     0.028398
9.930	     0.028677
9.931	     0.028959
9.932	     0.029242
9.933	     0.029528
9.934	     0.029815
9.935	     0.030106
9.936	     0.030399
9.937	     0.030695
9.938	     0.030994
